[step 500] loss=21.3071 | td_loss_embd=0.2209 | td_loss_hidn=0.3212 | td_loss_attn=2.4334 | td_loss_total_raw=2.9755 | learning_rate=4.97e-05
[step 16000] loss=1.9716 | td_loss_embd=0.1275 | td_loss_hidn=0.2090 | td_loss_attn=1.6596 | td_loss_total_raw=1.9961 | learning_rate=3.63e-05
[step 16500] loss=1.9680 | td_loss_embd=0.1208 | td_loss_hidn=0.1989 | td_loss_attn=1.6231 | td_loss_total_raw=1.9427 | learning_rate=3.59e-05
[step 17000] loss=1.9677 | td_loss_embd=0.1255 | td_loss_hidn=0.2068 | td_loss_attn=1.7566 | td_loss_total_raw=2.0889 | learning_rate=3.54e-05
[step 17500] loss=1.9646 | td_loss_embd=0.1175 | td_loss_hidn=0.1987 | td_loss_attn=1.6084 | td_loss_total_raw=1.9246 | learning_rate=3.50e-05
[step 18000] loss=1.9609 | td_loss_embd=0.1296 | td_loss_hidn=0.2042 | td_loss_attn=1.6366 | td_loss_total_raw=1.9704 | learning_rate=3.46e-05
[step 18500] loss=1.9587 | td_loss_embd=0.1226 | td_loss_hidn=0.2057 | td_loss_attn=1.6727 | td_loss_total_raw=2.0010 | learning_rate=3.41e-05
[step 19000] loss=1.9554 | td_loss_embd=0.1233 | td_loss_hidn=0.2093 | td_loss_attn=1.7970 | td_loss_total_raw=2.1296 | learning_rate=3.37e-05
[step 19500] loss=1.9541 | td_loss_embd=0.1217 | td_loss_hidn=0.2004 | td_loss_attn=1.7458 | td_loss_total_raw=2.0679 | learning_rate=3.33e-05
[step 20000] loss=1.9542 | td_loss_embd=0.1268 | td_loss_hidn=0.2054 | td_loss_attn=1.6657 | td_loss_total_raw=1.9979 | learning_rate=3.28e-05
[step 20500] loss=1.9528 | td_loss_embd=0.1227 | td_loss_hidn=0.1969 | td_loss_attn=1.6111 | td_loss_total_raw=1.9307 | learning_rate=3.24e-05
[step 21000] loss=1.9503 | td_loss_embd=0.1151 | td_loss_hidn=0.1972 | td_loss_attn=1.6323 | td_loss_total_raw=1.9446 | learning_rate=3.20e-05
[step 21500] loss=1.9490 | td_loss_embd=0.1229 | td_loss_hidn=0.2013 | td_loss_attn=1.6610 | td_loss_total_raw=1.9852 | learning_rate=3.15e-05
[step 22000] loss=1.9461 | td_loss_embd=0.1135 | td_loss_hidn=0.1939 | td_loss_attn=1.6279 | td_loss_total_raw=1.9353 | learning_rate=3.11e-05
[step 22500] loss=1.9452 | td_loss_embd=0.1203 | td_loss_hidn=0.1978 | td_loss_attn=1.6592 | td_loss_total_raw=1.9773 | learning_rate=3.07e-05
[step 23000] loss=1.9436 | td_loss_embd=0.1169 | td_loss_hidn=0.1926 | td_loss_attn=1.5845 | td_loss_total_raw=1.8939 | learning_rate=3.02e-05
[step 23500] loss=1.9403 | td_loss_embd=0.1102 | td_loss_hidn=0.1960 | td_loss_attn=1.5684 | td_loss_total_raw=1.8746 | learning_rate=2.98e-05
[step 24000] loss=1.9412 | td_loss_embd=0.1217 | td_loss_hidn=0.1940 | td_loss_attn=1.6050 | td_loss_total_raw=1.9207 | learning_rate=2.94e-05
[step 24500] loss=1.9376 | td_loss_embd=0.1168 | td_loss_hidn=0.1967 | td_loss_attn=1.7026 | td_loss_total_raw=2.0161 | learning_rate=2.89e-05
[step 25000] loss=1.9369 | td_loss_embd=0.1168 | td_loss_hidn=0.1891 | td_loss_attn=1.5656 | td_loss_total_raw=1.8715 | learning_rate=2.85e-05
[step 25500] loss=1.9361 | td_loss_embd=0.1183 | td_loss_hidn=0.1973 | td_loss_attn=1.5823 | td_loss_total_raw=1.8979 | learning_rate=2.81e-05
[step 26000] loss=1.9368 | td_loss_embd=0.1099 | td_loss_hidn=0.1950 | td_loss_attn=1.6375 | td_loss_total_raw=1.9424 | learning_rate=2.76e-05
[step 26500] loss=1.9344 | td_loss_embd=0.1127 | td_loss_hidn=0.1950 | td_loss_attn=1.6618 | td_loss_total_raw=1.9696 | learning_rate=2.72e-05
[step 27000] loss=1.9347 | td_loss_embd=0.1183 | td_loss_hidn=0.2036 | td_loss_attn=1.6660 | td_loss_total_raw=1.9880 | learning_rate=2.68e-05
[step 27500] loss=1.9341 | td_loss_embd=0.1135 | td_loss_hidn=0.1949 | td_loss_attn=1.6210 | td_loss_total_raw=1.9294 | learning_rate=2.63e-05
[step 28000] loss=1.9308 | td_loss_embd=0.1105 | td_loss_hidn=0.1905 | td_loss_attn=1.5639 | td_loss_total_raw=1.8648 | learning_rate=2.59e-05
[step 28500] loss=1.9300 | td_loss_embd=0.1163 | td_loss_hidn=0.1973 | td_loss_attn=1.5753 | td_loss_total_raw=1.8889 | learning_rate=2.55e-05
[step 29000] loss=1.9297 | td_loss_embd=0.1229 | td_loss_hidn=0.1983 | td_loss_attn=1.6226 | td_loss_total_raw=1.9438 | learning_rate=2.50e-05
[step 29500] loss=1.9262 | td_loss_embd=0.1173 | td_loss_hidn=0.1981 | td_loss_attn=1.6363 | td_loss_total_raw=1.9517 | learning_rate=2.46e-05
[step 30000] loss=1.9245 | td_loss_embd=0.1094 | td_loss_hidn=0.1945 | td_loss_attn=1.5891 | td_loss_total_raw=1.8930 | learning_rate=2.42e-05
[step 30500] loss=1.9237 | td_loss_embd=0.1085 | td_loss_hidn=0.1910 | td_loss_attn=1.5872 | td_loss_total_raw=1.8867 | learning_rate=2.37e-05
[step 31000] loss=1.9252 | td_loss_embd=0.1156 | td_loss_hidn=0.1949 | td_loss_attn=1.5513 | td_loss_total_raw=1.8618 | learning_rate=2.33e-05
[step 31500] loss=1.9253 | td_loss_embd=0.1332 | td_loss_hidn=0.2074 | td_loss_attn=1.6795 | td_loss_total_raw=2.0201 | learning_rate=2.29e-05
[step 32000] loss=1.9241 | td_loss_embd=0.1183 | td_loss_hidn=0.2024 | td_loss_attn=1.6282 | td_loss_total_raw=1.9490 | learning_rate=2.24e-05
[step 32500] loss=1.9236 | td_loss_embd=0.1223 | td_loss_hidn=0.1973 | td_loss_attn=1.6197 | td_loss_total_raw=1.9393 | learning_rate=2.20e-05
[step 33000] loss=1.9202 | td_loss_embd=0.1149 | td_loss_hidn=0.1946 | td_loss_attn=1.5738 | td_loss_total_raw=1.8834 | learning_rate=2.16e-05
[step 33500] loss=1.9199 | td_loss_embd=0.1160 | td_loss_hidn=0.1948 | td_loss_attn=1.6153 | td_loss_total_raw=1.9260 | learning_rate=2.11e-05
[step 34000] loss=1.9233 | td_loss_embd=0.1179 | td_loss_hidn=0.1926 | td_loss_attn=1.5944 | td_loss_total_raw=1.9049 | learning_rate=2.07e-05
[step 34500] loss=1.9175 | td_loss_embd=0.1234 | td_loss_hidn=0.2019 | td_loss_attn=1.6531 | td_loss_total_raw=1.9784 | learning_rate=2.03e-05
[step 35000] loss=1.9177 | td_loss_embd=0.1119 | td_loss_hidn=0.2036 | td_loss_attn=1.6624 | td_loss_total_raw=1.9780 | learning_rate=1.98e-05
[step 35500] loss=1.9173 | td_loss_embd=0.1116 | td_loss_hidn=0.1932 | td_loss_attn=1.6267 | td_loss_total_raw=1.9315 | learning_rate=1.94e-05
[step 36000] loss=1.9180 | td_loss_embd=0.1158 | td_loss_hidn=0.1911 | td_loss_attn=1.5663 | td_loss_total_raw=1.8732 | learning_rate=1.90e-05
[step 36500] loss=1.9153 | td_loss_embd=0.1222 | td_loss_hidn=0.1970 | td_loss_attn=1.5822 | td_loss_total_raw=1.9015 | learning_rate=1.85e-05
[step 37000] loss=1.9146 | td_loss_embd=0.1325 | td_loss_hidn=0.2033 | td_loss_attn=1.6580 | td_loss_total_raw=1.9938 | learning_rate=1.81e-05
[step 37500] loss=1.9156 | td_loss_embd=0.1152 | td_loss_hidn=0.1999 | td_loss_attn=1.5653 | td_loss_total_raw=1.8804 | learning_rate=1.77e-05
[step 38000] loss=1.9136 | td_loss_embd=0.1156 | td_loss_hidn=0.1983 | td_loss_attn=1.6103 | td_loss_total_raw=1.9242 | learning_rate=1.72e-05
[step 38500] loss=1.9142 | td_loss_embd=0.1059 | td_loss_hidn=0.1879 | td_loss_attn=1.5954 | td_loss_total_raw=1.8891 | learning_rate=1.68e-05
[step 39000] loss=1.9131 | td_loss_embd=0.1143 | td_loss_hidn=0.1933 | td_loss_attn=1.5698 | td_loss_total_raw=1.8774 | learning_rate=1.64e-05
[step 39500] loss=1.9113 | td_loss_embd=0.1145 | td_loss_hidn=0.1954 | td_loss_attn=1.5510 | td_loss_total_raw=1.8610 | learning_rate=1.59e-05
[step 40000] loss=1.9110 | td_loss_embd=0.1153 | td_loss_hidn=0.1942 | td_loss_attn=1.5876 | td_loss_total_raw=1.8971 | learning_rate=1.55e-05
[step 40500] loss=1.9112 | td_loss_embd=0.1089 | td_loss_hidn=0.1952 | td_loss_attn=1.5270 | td_loss_total_raw=1.8311 | learning_rate=1.51e-05
[step 41000] loss=1.9101 | td_loss_embd=0.1219 | td_loss_hidn=0.2018 | td_loss_attn=1.6345 | td_loss_total_raw=1.9582 | learning_rate=1.46e-05
[step 41500] loss=1.9103 | td_loss_embd=0.1162 | td_loss_hidn=0.1911 | td_loss_attn=1.5483 | td_loss_total_raw=1.8556 | learning_rate=1.42e-05
[step 42000] loss=1.9120 | td_loss_embd=0.1123 | td_loss_hidn=0.1945 | td_loss_attn=1.6469 | td_loss_total_raw=1.9538 | learning_rate=1.38e-05
[step 42500] loss=1.9102 | td_loss_embd=0.1103 | td_loss_hidn=0.1939 | td_loss_attn=1.5999 | td_loss_total_raw=1.9041 | learning_rate=1.33e-05
[step 43000] loss=1.9082 | td_loss_embd=0.1072 | td_loss_hidn=0.1974 | td_loss_attn=1.6560 | td_loss_total_raw=1.9606 | learning_rate=1.29e-05
[step 43500] loss=1.9073 | td_loss_embd=0.1115 | td_loss_hidn=0.1894 | td_loss_attn=1.5386 | td_loss_total_raw=1.8396 | learning_rate=1.25e-05
[step 44000] loss=1.9083 | td_loss_embd=0.1176 | td_loss_hidn=0.1916 | td_loss_attn=1.5989 | td_loss_total_raw=1.9081 | learning_rate=1.20e-05
[step 44500] loss=1.9064 | td_loss_embd=0.1221 | td_loss_hidn=0.1944 | td_loss_attn=1.5576 | td_loss_total_raw=1.8741 | learning_rate=1.16e-05
[step 45000] loss=1.9050 | td_loss_embd=0.1146 | td_loss_hidn=0.1930 | td_loss_attn=1.5655 | td_loss_total_raw=1.8731 | learning_rate=1.11e-05
[step 45500] loss=1.9044 | td_loss_embd=0.1317 | td_loss_hidn=0.2052 | td_loss_attn=1.6403 | td_loss_total_raw=1.9773 | learning_rate=1.07e-05
[step 46000] loss=1.9051 | td_loss_embd=0.1139 | td_loss_hidn=0.1886 | td_loss_attn=1.5743 | td_loss_total_raw=1.8768 | learning_rate=1.03e-05
[step 46500] loss=1.9049 | td_loss_embd=0.1221 | td_loss_hidn=0.1951 | td_loss_attn=1.5808 | td_loss_total_raw=1.8980 | learning_rate=9.85e-06
[step 47000] loss=1.9016 | td_loss_embd=0.1184 | td_loss_hidn=0.1984 | td_loss_attn=1.5616 | td_loss_total_raw=1.8784 | learning_rate=9.42e-06
[step 47500] loss=1.9058 | td_loss_embd=0.1138 | td_loss_hidn=0.1916 | td_loss_attn=1.5695 | td_loss_total_raw=1.8748 | learning_rate=8.98e-06
[step 48000] loss=1.9046 | td_loss_embd=0.1240 | td_loss_hidn=0.2003 | td_loss_attn=1.6288 | td_loss_total_raw=1.9531 | learning_rate=8.55e-06
[step 48500] loss=1.9027 | td_loss_embd=0.1182 | td_loss_hidn=0.1951 | td_loss_attn=1.5970 | td_loss_total_raw=1.9103 | learning_rate=8.11e-06
[step 49000] loss=1.9013 | td_loss_embd=0.1056 | td_loss_hidn=0.1919 | td_loss_attn=1.5782 | td_loss_total_raw=1.8757 | learning_rate=7.68e-06
[step 49500] loss=1.9039 | td_loss_embd=0.1074 | td_loss_hidn=0.1941 | td_loss_attn=1.5941 | td_loss_total_raw=1.8956 | learning_rate=7.25e-06
[step 50000] loss=1.9037 | td_loss_embd=0.1278 | td_loss_hidn=0.2030 | td_loss_attn=1.6675 | td_loss_total_raw=1.9983 | learning_rate=6.81e-06
[step 50500] loss=1.9029 | td_loss_embd=0.1076 | td_loss_hidn=0.1904 | td_loss_attn=1.5493 | td_loss_total_raw=1.8473 | learning_rate=6.38e-06
[step 51000] loss=1.9002 | td_loss_embd=0.1161 | td_loss_hidn=0.1886 | td_loss_attn=1.5616 | td_loss_total_raw=1.8663 | learning_rate=5.95e-06
[step 51500] loss=1.9020 | td_loss_embd=0.1191 | td_loss_hidn=0.1994 | td_loss_attn=1.6810 | td_loss_total_raw=1.9995 | learning_rate=5.51e-06
[step 52000] loss=1.8994 | td_loss_embd=0.1176 | td_loss_hidn=0.1962 | td_loss_attn=1.6302 | td_loss_total_raw=1.9441 | learning_rate=5.08e-06
[step 52500] loss=1.9003 | td_loss_embd=0.1198 | td_loss_hidn=0.1956 | td_loss_attn=1.5751 | td_loss_total_raw=1.8905 | learning_rate=4.65e-06
[step 53000] loss=1.8999 | td_loss_embd=0.1123 | td_loss_hidn=0.1947 | td_loss_attn=1.6064 | td_loss_total_raw=1.9134 | learning_rate=4.21e-06
[step 53500] loss=1.8983 | td_loss_embd=0.1092 | td_loss_hidn=0.1887 | td_loss_attn=1.6323 | td_loss_total_raw=1.9301 | learning_rate=3.78e-06
[step 54000] loss=1.8991 | td_loss_embd=0.1144 | td_loss_hidn=0.1937 | td_loss_attn=1.5891 | td_loss_total_raw=1.8972 | learning_rate=3.34e-06
[step 54500] loss=1.8986 | td_loss_embd=0.1222 | td_loss_hidn=0.2023 | td_loss_attn=1.6133 | td_loss_total_raw=1.9378 | learning_rate=2.91e-06
[step 55000] loss=1.9002 | td_loss_embd=0.1244 | td_loss_hidn=0.1973 | td_loss_attn=1.6071 | td_loss_total_raw=1.9288 | learning_rate=2.48e-06
[step 55500] loss=1.8992 | td_loss_embd=0.1187 | td_loss_hidn=0.1976 | td_loss_attn=1.5573 | td_loss_total_raw=1.8735 | learning_rate=2.04e-06
[step 56000] loss=1.9002 | td_loss_embd=0.1143 | td_loss_hidn=0.1965 | td_loss_attn=1.6170 | td_loss_total_raw=1.9278 | learning_rate=1.61e-06
[step 56500] loss=1.9000 | td_loss_embd=0.1201 | td_loss_hidn=0.1982 | td_loss_attn=1.6465 | td_loss_total_raw=1.9648 | learning_rate=1.18e-06
[step 57000] loss=1.8987 | td_loss_embd=0.1281 | td_loss_hidn=0.2026 | td_loss_attn=1.6478 | td_loss_total_raw=1.9785 | learning_rate=7.43e-07
[step 57500] loss=1.9003 | td_loss_embd=0.1190 | td_loss_hidn=0.2015 | td_loss_attn=1.6295 | td_loss_total_raw=1.9499 | learning_rate=3.10e-07
